投票所編號,投票所地名,投票所地址,投票所里別,,,,,
1,南港高工(綜合一),臺北市南港區南港里興中路29號,南港里,,,,,
2,南港高工(綜合三),臺北市南港區南港里興中路29號,南港里,,,,,
3,國家文官學院（菁英講堂）,臺北市南港區中南里忠孝東路7段576號,中南里,,,,,
4,國家文官學院(文康室),臺北市南港區中南里忠孝東路7段576號,中南里,,,,,
5,南港國小(樂團練習室),臺北市南港區三重里惠民街67號,三重里,,,,,
6,南港國小(童軍室),臺北市南港區三重里惠民街68號,三重里,,,,,
7,誠正國中107教室,臺北市南港區新富里富康街1巷24號,新富里,,,,,
8,誠正國中109教室,臺北市南港區新富里富康街1巷24號,新富里,,,,,
9,胡適國小音樂教室(一),臺北市南港區中研里舊莊街1段1號,中研里,,,,,
10,胡適國小社會科教室(一) ,臺北市南港區中研里舊莊街1段1號,中研里,,,,,
11,中研區民活動中心,臺北市南港區九如里研究院路2段70巷12號2樓,九如里,,,,,
12,胡適庭園社區管理中心,臺北市南港區九如里研究院路2段182巷29弄2號對面,九如里,,,,,
13,九如區民活動中心,臺北市南港區九如里研究院路3段68巷9號2樓,九如里,,,,,
14,舊莊國小成人教育班教室,臺北市南港區舊莊里舊莊街1段100號,舊莊里,,,,,
15,舊莊國小多功能教室,臺北市南港區舊莊里舊莊街1段100號,舊莊里,,,,,
16,舊莊區民活動中心,臺北市南港區舊莊里舊莊街1段91巷11號1樓,舊莊里,,,,,
17,東新國小(桌球室),臺北市南港區東新里興南街62號,東新里,,,,,
18,東新國小(家長會聯誼室),臺北市南港區東新里興南街62號,東新里,,,,,
19,南港老人服務中心(教室),臺北市南港區重陽里重陽路187巷5號(2樓教室),重陽里,,,,,
20,南港老人服務中心(綜合活動教室),臺北市南港區重陽里重陽路187巷5號(2樓教室),重陽里,,,,,
21,東新國小(潛能教室),臺北市南港區東明里興南街62號,東明里,,,,,
22,東新國小(感覺統合教室),臺北市南港區東明里興南街62號,東明里,,,,,
23,玉成國小(2年1班),臺北市南港區西新里向陽路31號,西新里,,,,,
24,玉成國小(2年3班),臺北市南港區西新里向陽路31號,西新里,,,,,
25,基督教南港聖教會,臺北市南港區玉成里南港路3段208巷6號,玉成里,,,,,
26,新移民會館(研習教室),"臺北市南港區玉成里八德路4段768之1號
地下一樓",玉成里,,,,,
27,南港運動中心1樓閱覽室,臺北市南港區合成里玉成街69號,合成里,,,,,
28,合成里里民活動場所,臺北市南港區合成里忠孝東路6段225巷1弄3號1樓,合成里,,,,,
29,警政署保七總隊第三大隊餐廳,臺北市南港區新光里昆陽街161-1號旁,新光里,,,,,
